Invoicing Vendor Number,Vendor,Line ID ,Invoicing Vendor Name,Invoice Line Description,PO Line Description,Extended line amount_1,Extended line amount_2,G/L Account number,Processing Date,Invoice Number,Line Number,PO Number,PO Line,Work Order Number,WO Task,Invoice gross amount_1,Invoice gross amount_2,Date invoice entered,Catalog Item Number,Catalog Item Name,Entity Number,Entity Name,Date and time of last check,Check Number,Check Date
1903,VENDOR 74,484,VENDOR 74,,X3D000429 SCREEN CORE MOUNT QUOTE#42259 DATED 02/10/15,414.52,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,13,             1500259,21,     74042,2,18825.15,USD,4/8/2015,               15287,X3D000429 SCREEN CORE MOUNT QUOTE#42259 DATED 02/10/15,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,485,VENDOR 74,,"SS201810EF DETAILS STELLA STD, KEYBOARD MECHANISM QUOTE#42259 DATED 02/10/15",227.97,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,14,             1500259,28,     74042,2,18825.15,USD,4/8/2015,               14035,"SS201810EF DETAILS STELLA STD, KEYBOARD MECHANISM QUOTE 38423 DATED 11/25/13",HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,486,VENDOR 74,,"X3D000482 STEELCASE SCREEN-CORE MOUNT,CORNER, LEFT HAND, 20HX60W QUOTE#42259 DATED 02/10/15",232.2,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,15,             1500259,23,     74042,2,18825.15,USD,4/8/2015,               14538,"X3D000482 STEELCASE SCREEN-CORE MOUNT,CORNER, LEFT HAND, 20HX60W QUOTE#39130 DATED 02/26/14",HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,487,VENDOR 74,,X3D000546 SCREEN-CORE MOUNT QUOTE#42259 DATED 02/10/15,235.21,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,16,             1500259,22,     74042,2,18825.15,USD,4/8/2015,               15288,X3D000546 SCREEN-CORE MOUNT QUOTE#42259 DATED 02/10/15,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,488,VENDOR 74,,DETAILS SE23CR10FA QUOTE#42259 DATED 02/10/15,264.18,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,17,             1500259,29,     74042,2,18825.15,USD,4/8/2015,               13706,DETAILS SE23CR10FA QUOTE 37853 DATED 10/2/13,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,489,VENDOR 74,,XUCL30000A9 STEELCASE PEDESTAL-2 FILES QUOTE#42259 DATED 02/10/15,380.98,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,18,             1500259,24,     74042,2,18825.15,USD,4/8/2015,               14029,XUCL30000A9 STEELCASE PEDESTAL-2 FILES QUOTE 38423 DATED 11/25/13,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,490,VENDOR 74,,"TS778IPJ STEELCASE 42.12 42.12 JUNCTION-IN LINE, OVAL, 78H QUOTE 42259 DATED 2/10/15",42.12,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,19,             1500259,7,     74042,2,18825.15,USD,4/8/2015,               15282,"7 1 TS778IPJ STEELCASE 42.12 42.12 JUNCTION-IN LINE, OVAL, 78H QUOTE 42259 DATED 2/10/15",HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,491,VENDOR 74,,XUCN3000A5 STEELCASE PEDESTAL-2 BOX QUOTE#42259 DATED 02/10/15,420.97,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,20,             1500259,25,     74042,2,18825.15,USD,4/8/2015,               13973,XUCN3000A5 STEELCASE PEDESTAL-2 BOX QUOTE 38249 DATED 11/25/13,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,492,VENDOR 74,,TS71248TK STEELCASE PANEL SKIN-TACKABLE ACOUSTICAL 12HX48W SURFACE: G205 NEW BALLATA QUOTE # 42259 DATED 2/10/15,88.92,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,21,             1500259,3,     74042,2,18825.15,USD,4/8/2015,               14527,TS71248TK STEELCASE PANEL SKIN-TACKABLE ACOUSTICAL 12HX48W SURFACE: G205 NEW BALLATA QUOTE # 39130 DATED 2/26/14,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,493,VENDOR 74,,XBB42 STEELCASE CABINET PKG-OVERHEAD QUOTE#42259 DATED 02/10/15,460.96,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,22,             1500259,18,     74042,2,18825.15,USD,4/8/2015,               13518,XBB42 STEELCASE CABINET PKG-OVERHEAD QUOTE 37160 DATED 7/18/13,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,494,VENDOR 74,,TS71260TK PANEL SKIN-TACKABLE ACOUSTICAL 12Hx60W QUOTE # 42259 DATED 2/10/15,399.36,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,23,             1500259,6,     74042,2,18825.15,USD,4/8/2015,               15281,TS71260TK PANEL SKIN-TACKABLE ACOUSTICAL 12Hx60W QUOTE # 42259 DATED 2/10/15,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,495,VENDOR 74,,STEELCASE XBB54 QUOTE#42259 DATED 02/10/15,527.18,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,24,             1500259,19,     74042,2,18825.15,USD,4/8/2015,               13682,STEELCASE XBB54 QUOTE 37853 DATED 10/2/13,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,496,VENDOR 74,,"TS748HFS STEELCASE FRAME, HORIZONTAL PKG, STACKING, 482 QUOTE # 42259 DATED 2/10/15",53.43,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,25,             1500259,1,     74042,2,18825.15,USD,4/8/2015,               14524,"TS748HFS STEELCASE FRAME, HORIZONTAL PKG, STACKING, 482 QUOTE # 39130 DATED 2/26/14",HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,497,VENDOR 74,,"XBB60 STEELCASE CABINET PACKAGE-OVERHEAD, DOUBLE DOORS, 60W QUOTE#42259 DATED 02/10/15",568.89,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,26,             1500259,20,     74042,2,18825.15,USD,4/8/2015,               14535,"XBB60 STEELCASE CABINET PACKAGE-OVERHEAD, DOUBLE DOORS, 60W QUOTE#39130 DATED 02/26/14",HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,498,VENDOR 74,,TS760HF STEELCASE FRAME-OVAL QUOTE # 42259 DATED 2/10/15,269.88,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,27,             1500259,4,     74042,2,18825.15,USD,4/8/2015,               13960,TS760HF STEELCASE FRAME-OVAL QUOTE 38249 DATED 11/25/13,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,499,VENDOR 74,,"TS778EPJ STEELCASE 70.98 70.98 JUNCTION-END OF RUN, OVAL, 78H QUOTE 42259 DATED 2/10/15",70.98,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,28,             1500259,9,     74042,2,18825.15,USD,4/8/2015,               15284,"TS778EPJ STEELCASE 70.98 70.98 JUNCTION-END OF RUN, OVAL, 78H QUOTE 42259 DATED 2/10/15",HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,500,VENDOR 74,,FSCD20 CENTER DRAWER QUOTE#42259 DATED 02/10/15,79.2,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,29,             1500259,27,     74042,2,18825.15,USD,4/8/2015,               15289,FSCD20 CENTER DRAWER QUOTE#42259 DATED 02/10/15,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,501,VENDOR 74,,X1AR30369 STEELCASE CORE UNIT-STRAIGHT END/INSIDE QUOTE#42259 DATED 02/10/15,801.09,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,30,             1500259,15,     74042,2,18825.15,USD,4/8/2015,               13515,X1AR30369 STEELCASE CORE UNIT-STRAIGHT END/INSIDE QUOTE 37160 DATED 7/18/13,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
1903,VENDOR 74,502,VENDOR 74,,X1AL30608 STEELCASE CORE UNIT-STRAIGHT QUOTE#42259 DATED 02/10/15,864.73,USD,PR-107301-94-17-01-3293-000000,4/8/2015,              241288,31,             1500259,14,     74042,2,18825.15,USD,4/8/2015,               15286,X1AL30608 STEELCASE CORE UNIT-STRAIGHT QUOTE#42259 DATED 02/10/15,HQ-MAIN,HQ-MAIN BUILDING,4/10/2015 2:52,40043,4/10/2015
10645,VENDOR 136,503,VENDOR 136,,"ITEM I - PROVIDE AN IMPROVEMENT SURVEY PLAT WITH TOPOGRAPHIC INFO OF HQ CAMPUS - OCTOBER 27TH-NOV 8TH THIS SURVEY WILL BE TIED TO A CITY OF  COLLINS BENCH MARK (NAVD 1988) AND WILL BE TIED TO STATE PLANE COORDINATES, NORTH ZONE 1983/2011. THE TOPO WILL BE DELIVERED IN AN AUTOCAD CIVIL 3D 2013 DWG OR STANDARD PDF FILE FORMAT. ALL PROPERTY PINS WILL BE FOUND OR SET WITH THIS SERVICE. PER PROPOSAL DATED 10/4/16 BY STEVEN PARKS",14099.25,USD,PR-107301-94-17-01-3314-000000,12/7/2016,              402667,1,             1601716,1,     80808,6,14099.25,USD,12/7/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,12/16/2016 4:29,49161,12/16/2016
10645,VENDOR 136,504,VENDOR 136,,"ITEM I - PROVIDE AN IMPROVEMENT SURVEY PLAT WITH TOPOGRAPHIC INFO OF HQ CAMPUS - OCTOBER 27TH-NOV 8TH THIS SURVEY WILL BE TIED TO A CITY OF  COLLINS BENCH MARK (NAVD 1988) AND WILL BE TIED TO STATE PLANE COORDINATES, NORTH ZONE 1983/2011. THE TOPO WILL BE DELIVERED IN AN AUTOCAD CIVIL 3D 2013 DWG OR STANDARD PDF FILE FORMAT. ALL PROPERTY PINS WILL BE FOUND OR SET WITH THIS SERVICE. PER PROPOSAL DATED 10/4/16 BY STEVEN PARKS",3440.75,USD,PR-107301-94-17-01-3314-000000,12/31/2016,              403091,1,             1601716,1,     80808,6,4483.55,USD,1/4/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,1/20/2017 1:02,49634,1/20/2017
10645,VENDOR 136,505,VENDOR 136,,"ITEM II - FEE TO PROVIDE ADDITIONAL TOPOGRAPHIC INFO OF BOTTOM OF POND THIS SURVEY WILL BE TIED TO A CITY OF  COLLINS BENCH MARK (NAVD 1988) AND WILL BE TIED TO STATE PLANE COORDINATES, NORTH ZONE 1983/2011. THE TOPO WILL BE DELIVERED IN AN AUTOCAD CIVIL 3D 2013 DWG OR STANDARD PDF FILE FORMAT. ALL PROPERTY PINS WILL BE FOUND OR SET WITH THIS SERVICE. PER PROPOSAL DATED 10/4/16 BY STEVEN PARKS",1042.8,USD,PR-107301-94-17-01-3314-000000,12/31/2016,              403091,2,             1601716,2,     80808,6,4483.55,USD,1/4/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,1/20/2017 1:02,49634,1/20/2017
12149,VENDOR 179,506,VENDOR 179,,"EARNEST MONEY DANFIELD COURT PER CONTRACT TO BUY AND SELL REAL ESTATE DATED MAY 13, 2016",100000,USD,PR-107301-94-17-01-3314-000000,5/17/2016,DANFIELD CT EARNEST,1,             1600837,1,     80808,4,100000,USD,5/17/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,5/17/2016 1:03,46210,5/17/2016
2067,VENDOR 80,507,VENDOR 80,,SOIL SAMPLING AND GEOTECHNICAL ANALYSIS LOCATION: 5 ACRE PARCEL DUE NORTH OF CURRENT HQ CAMPUS WORK TO BE COMPLETED 6/15/16,4400,USD,PR-107301-94-17-01-3314-000000,6/17/2016,T785021,1,             1600853,1,     80808,4,4400,USD,6/17/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,6/24/2016 5:19,46763,6/24/2016
2067,VENDOR 80,508,VENDOR 80,,PHASE 1 ENVIRONMENTAL SITE ASSESSMENT,2400,USD,PR-107301-94-17-01-3314-000000,6/28/2016,T790538,1,             1600853,2,     80808,4,2400,USD,6/28/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,7/1/2016 3:40,46868,7/1/2016
12149,VENDOR 179,509,VENDOR 179,,PURCHASE +/-5 ACRE PARCEL AT 2001 DANFIELD COURT,2375000,USD,PR-107301-94-17-01-3314-000000,6/29/2016,DANFIELD CT PURCHASE,1,             1600837,2,     80808,4,2375242,USD,6/29/2016,                1001,MATERIALS,HQ,HEADQUARTERS FACILITY,6/30/2016 5:39,8179,6/30/2016
12149,VENDOR 179,510,VENDOR 179,,CLOSING AND RECORDING FEES,242,USD,PR-107301-94-17-01-3314-000000,6/29/2016,DANFIELD CT PURCHASE,2,             1600837,3,     80808,4,2375242,USD,6/29/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,6/30/2016 5:39,8179,6/30/2016
12330,VENDOR 189,511,VENDOR 189,,"THE SCOPE OF THE SURVEY INCLUDES ALL STRUCTURES ON THE SITE, NAMELY INCLUDING THE BUILDINGS REFERRED TO AS HEADQUARTERS, MAINTENANCE, ENGINEERING AND OPERATIONS, NORTH CARPORT, 4 SHEDS, AT&T, SPRINT, GARAGE, SMALL SHED, AND POOLCAR GARAGE/FLEETSHOP AREA. THE AT&T BUILDING IS EVIDENTLY IN QUESTION, BUT WE INCLUDED A COST OF APPROXIMATELY $250.00 TO COVER THIS WHICH CAN BE DELETED IF THIS IS DE-SCOPED. THE SURVEY INCLUDES INSIDE AND EXTERIOR OF ALL BUILDINGS  COST: WE HAVE PREPARED A LUMP SUM COST FOR THE SURVEY AND ALL ASSOCIATED WORK AS DESCRIBED HEREIN OF $16,736.00. THIS INCLUDES ALL THE ABOVE WITH THE ONLY CAVEAT THAT WE INCLUDED 29 POINT COUNT LAB FEES @ $30 EA. AS AN ESTIMATE. OCCASIONALLY, A BUILDING HAS MATERIALS THAT REQUIRE MANY MORE THAN THAT, BUT THEY ARE NOT HIGH DOLLAR ITEMS, SO WOULD BE TREATED AS AN ADDITIONAL COST IF MORE ARE APPROPRIATE.  PER PROPOSAL DATED 7/29/16",13388.8,USD,PR-107301-94-17-01-3314-000000,1/26/2017,5336.16A,1,             1601577,1,     80808,5,13388.8,USD,1/26/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,1/27/2017 3:07,49693,1/27/2017
12330,VENDOR 189,512,VENDOR 189,,"THE SCOPE OF THE SURVEY INCLUDES ALL STRUCTURES ON THE SITE, NAMELY INCLUDING THE BUILDINGS REFERRED TO AS HEADQUARTERS, MAINTENANCE, ENGINEERING AND OPERATIONS, NORTH CARPORT, 4 SHEDS, AT&T, SPRINT, GARAGE, SMALL SHED, AND POOLCAR GARAGE/FLEETSHOP AREA. THE AT&T BUILDING IS EVIDENTLY IN QUESTION, BUT WE INCLUDED A COST OF APPROXIMATELY $250.00 TO COVER THIS WHICH CAN BE DELETED IF THIS IS DE-SCOPED. THE SURVEY INCLUDES INSIDE AND EXTERIOR OF ALL BUILDINGS  COST: WE HAVE PREPARED A LUMP SUM COST FOR THE SURVEY AND ALL ASSOCIATED WORK AS DESCRIBED HEREIN OF $16,736.00. THIS INCLUDES ALL THE ABOVE WITH THE ONLY CAVEAT THAT WE INCLUDED 29 POINT COUNT LAB FEES @ $30 EA. AS AN ESTIMATE. OCCASIONALLY, A BUILDING HAS MATERIALS THAT REQUIRE MANY MORE THAN THAT, BUT THEY ARE NOT HIGH DOLLAR ITEMS, SO WOULD BE TREATED AS AN ADDITIONAL COST IF MORE ARE APPROPRIATE.  PER PROPOSAL DATED 7/29/16",3347.2,USD,PR-107301-94-17-01-3314-000000,3/13/2017,5336.16B,1,             1601577,1,     80808,5,3347.2,USD,3/13/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,3/17/2017 4:27,50399,3/17/2017
883,VENDOR 33,513, COLLINS COLORADOAN,,"LEGAL NOTICES, ADS, BIDS",132.89,USD,PR-107301-94-17-01-3314-000000,6/8/2016,          0002713442,1,A160289,4,     80808,2,184.38,USD,6/8/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,6/10/2016 4:49,46526,6/10/2016
789,VENDOR 27,514,VENDOR 27,,"LEGAL NOTICES, ADS, BIDS",337.56,USD,PR-107301-94-17-01-3314-000000,6/9/2016,             5671727,1,A160272,2,     80808,2,337.56,USD,6/9/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,6/17/2016 4:31,46652,6/17/2016
789,VENDOR 27,515,VENDOR 27,,"LEGAL NOTICES, ADS, BIDS",151.87,USD,PR-107301-94-17-01-3314-000000,6/9/2016,             5671728,1,A160272,2,     80808,2,151.87,USD,6/9/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,6/17/2016 4:31,46652,6/17/2016
789,VENDOR 27,516,VENDOR 27,,"LEGAL NOTICES, ADS, BIDS",327.12,USD,PR-107301-94-17-01-3314-000000,6/9/2016,             5671745,1,A160272,2,     80808,2,327.12,USD,6/9/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,6/17/2016 4:31,46652,6/17/2016
12149,VENDOR 179,517,VENDOR 179,,TITLE COMMITMENT FOR 2000 E HORSETOOTH RD,500,USD,PR-107301-94-17-01-3314-000000,10/31/2016,            25145034,1,             1601803,1,     80808,2,500,USD,11/1/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,11/4/2016 2:30,48560,11/4/2016
12981,VENDOR 230,518,VENDOR 230,,HEADQUARTERS CAMPUS PHASE II PROJECT HQ16-1763,51300,USD,PR-107301-94-17-01-3314-000000,11/28/2016,                 742,1,C160340,1,     80808,2,51300,USD,11/28/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,12/2/2016 1:47,48902,12/2/2016
12981,VENDOR 230,519,VENDOR 230,,HEADQUARTERS CAMPUS PHASE II PROJECT HQ16-1763,55038,USD,PR-107301-94-17-01-3314-000000,12/13/2016,                 743,1,C160340,1,     80808,2,55038,USD,12/13/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,12/30/2016 1:23,49318,12/30/2016
12981,VENDOR 230,520,VENDOR 230,,HEADQUARTERS CAMPUS PHASE II PROJECT HQ16-1763,5690,USD,PR-107301-94-17-01-3314-000000,12/21/2016,                 750,1,C160340,1,     80808,2,5690,USD,12/21/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,12/30/2016 1:23,49318,12/30/2016
12981,VENDOR 230,521,VENDOR 230,,HEADQUARTERS CAMPUS PHASE II PROJECT HQ16-1763,123503.4,USD,PR-107301-94-17-01-3314-000000,1/31/2017,                 756,1,C160340,1,     80808,2,123503.4,USD,2/2/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,2/24/2017 2:40,50085,2/24/2017
12981,VENDOR 230,522,VENDOR 230,,HEADQUARTERS CAMPUS PHASE II PROJECT HQ16-1763,91369,USD,PR-107301-94-17-01-3314-000000,3/9/2017,                 760,1,C160340,1,     80808,2,91369,USD,3/9/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,3/24/2017 3:39,50596,3/24/2017
12981,VENDOR 230,523,VENDOR 230,,HEADQUARTERS CAMPUS PHASE II PROJECT HQ16-1763,102559.19,USD,PR-107301-94-17-01-3314-000000,4/24/2017,                 763,1,C160340,1,     80808,2,102559.19,USD,4/24/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,4/28/2017 3:26,51143,4/28/2017
12981,VENDOR 230,524,VENDOR 230,,HEADQUARTERS CAMPUS PHASE II PROJECT HQ16-1763,121441,USD,PR-107301-94-17-01-3314-000000,5/24/2017,                 774,1,C160340,1,     80808,2,121441,USD,5/24/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,5/26/2017 3:52,51596,5/26/2017
12981,VENDOR 230,525,VENDOR 230,,HEADQUARTERS CAMPUS PHASE II PROJECT HQ16-1763,134764.95,USD,PR-107301-94-17-01-3314-000000,6/13/2017,                 776,1,C160340,1,     80808,2,134764.95,USD,6/13/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,6/30/2017 2:20,52106,6/30/2017
12981,VENDOR 230,526,VENDOR 230,,HEADQUARTERS CAMPUS PHASE II PROJECT HQ16-1763,127728.51,USD,PR-107301-94-17-01-3314-000000,7/18/2017,                 785,1,C160340,1,     80808,2,127728.51,USD,7/18/2017,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,,,
9403,VENDOR 116,527,VENDOR 116,,LINE 1 - CATERING SERVICES/BUSINESS MEETINGS INV#141196 & 141197,78.52,USD,PR-107301-94-17-01-3314-000000,10/31/2016,              144394,1,A160303,2,     80808,3,85.52,USD,10/31/2016,                1000,SERVICES,HQ,HEADQUARTERS FACILITY,11/10/2016 1:15,48649,11/10/2016
817,VENDOR 32,528,VENDOR 32,Lunch for meeting FLEET SPECIALIST ITALIAN FOOD 00013763  ,,77.96,USD,PR-107301-94-17-01-3314-000000,2/22/2017,MCFEB17,33,,,     80808,3,79340.73,USD,2/22/2017,                9600,MASTER CARD,HQ,HEADQUARTERS FACILITY,2/28/2017 0:55,8508,2/28/2017
817,VENDOR 32,529,VENDOR 32, HQ PM Meeting ADMIN ASST  MEXICAN QPS 08585224571,,151,USD,PR-107301-94-17-01-3314-000000,2/22/2017,MCFEB17,46,,,     80808,3,79340.73,USD,2/22/2017,                9600,MASTER CARD,HQ,HEADQUARTERS FACILITY,2/28/2017 0:55,8508,2/28/2017
817,VENDOR 32,530,VENDOR 32, HQ PM Meeting ADMIN ASST ORDERUPPANINOS DELIV 8006896613,,126.6,USD,PR-107301-94-17-01-3314-000000,2/22/2017,MCFEB17,47,,,     80808,3,79340.73,USD,2/22/2017,                9600,MASTER CARD,HQ,HEADQUARTERS FACILITY,2/28/2017 0:55,8508,2/28/2017
817,VENDOR 32,531,VENDOR 32,"HQ Facilities Manager, Meeting ADMIN ASST  MEXICAN GRILLQPS HQ CITY",,226,USD,PR-107301-94-17-01-3314-000000,11/28/2016,MCNOV16,53,,,,,91610.62,USD,11/28/2016,                9600,MASTER CARD,,,11/28/2016 9:41,8376,11/28/2016
817,VENDOR 32,532,VENDOR 32,"HQ Facilities Manager, Meeting ADMIN ASST  SUBS HQ CITY",,47.23,USD,PR-107301-94-17-01-3314-000000,11/28/2016,MCNOV16,65,,,,,91610.62,USD,11/28/2016,                9600,MASTER CARD,,,11/28/2016 9:41,8376,11/28/2016
817,VENDOR 32,533,VENDOR 32,"HQ Facilities Manager, Meeting ADMIN ASST BBQHQ CITY",,77.12,USD,PR-107301-94-17-01-3314-000000,11/28/2016,MCNOV16,66,,,,,91610.62,USD,11/28/2016,                9600,MASTER CARD,,,11/28/2016 9:41,8376,11/28/2016
817,VENDOR 32,534,VENDOR 32,"HQ Facilities Manager, Meeting ADMIN ASST ITALIAN FOOD 00013763  ",,154.71,USD,PR-107301-94-17-01-3314-000000,11/28/2016,MCNOV16,67,,,,,91610.62,USD,11/28/2016,                9600,MASTER CARD,,,11/28/2016 9:41,8376,11/28/2016
817,VENDOR 32,535,VENDOR 32,"HQ Facilities Manager, This is in error they charged us twice ADMIN ASST  SUBS HQ CITY",,55.48,USD,PR-107301-94-17-01-3314-000000,11/28/2016,MCNOV16,68,,,,,91610.62,USD,11/28/2016,                9600,MASTER CARD,,,11/28/2016 9:41,8376,11/28/2016
1883,VENDOR 73,536,VENDOR 73,,FOOD SUPPLIES-HQ,17.94,USD,PR-107301-94-17-01-3314-000000,12/14/2016,0128 12-08-16,2,A160171,2,,,73.04,USD,12/14/2016,                1001,MATERIALS,,,12/16/2016 4:29,49221,12/16/2016
817,VENDOR 32,537,VENDOR 32,Lunch for meeting FLEET SPECIALIST HUNAN HQ CITY,,188,USD,PR-107301-94-17-01-3314-000000,12/21/2016,MCDEC16,43,,,,,58932.78,USD,12/21/2016,                9600,MASTER CARD,,,12/30/2016 4:49,8424,12/30/2016
817,VENDOR 32,538,VENDOR 32,HQ HQ PMCredit back to account ADMIN ASST  SUBS HQ CITY,,-47.23,USD,PR-107301-94-17-01-3314-000000,12/21/2016,MCDEC16,51,,,,,58932.78,USD,12/21/2016,                9600,MASTER CARD,,,12/30/2016 4:49,8424,12/30/2016
817,VENDOR 32,539,VENDOR 32,HQ HQ PMCredit back to account ADMIN ASST  SUBS HQ CITY,,-55.48,USD,PR-107301-94-17-01-3314-000000,12/21/2016,MCDEC16,53,,,,,58932.78,USD,12/21/2016,                9600,MASTER CARD,,,12/30/2016 4:49,8424,12/30/2016
817,VENDOR 32,540,VENDOR 32,"HQ HQ PM& HQ Facilities Manager, Luncheon(See 10416 receipt) ADMIN ASST  SUBS HQ CITY",,8.48,USD,PR-107301-94-17-01-3314-000000,12/21/2016,MCDEC16,56,,,,,58932.78,USD,12/21/2016,                9600,MASTER CARD,,,12/30/2016 4:49,8424,12/30/2016
817,VENDOR 32,541,VENDOR 32,"HQ HQ PM& HQ Facilities Manager, Luncheon ADMIN ASST BBQHQ CITY",,116.57,USD,PR-107301-94-17-01-3314-000000,12/21/2016,MCDEC16,57,,,,,58932.78,USD,12/21/2016,                9600,MASTER CARD,,,12/30/2016 4:49,8424,12/30/2016
817,VENDOR 32,542,VENDOR 32,"HQ HQ PM& HQ Facilities Manager, Meeting ADMIN ASST ITALIAN FOOD 00013763  ",,158.7,USD,PR-107301-94-17-01-3314-000000,12/21/2016,MCDEC16,63,,,,,58932.78,USD,12/21/2016,                9600,MASTER CARD,,,12/30/2016 4:49,8424,12/30/2016
817,VENDOR 32,543,VENDOR 32,"HQ HQ PM& HQ Facilities Manager, Meeting ADMIN ASST  MEXICAN QPS 08585224571",,135,USD,PR-107301-94-17-01-3314-000000,12/21/2016,MCDEC16,65,,,,,58932.78,USD,12/21/2016,                9600,MASTER CARD,,,12/30/2016 4:49,8424,12/30/2016
817,VENDOR 32,544,VENDOR 32,HQ HQ PM Meeting ADMIN ASST  SUBS HQ CITY,,55,USD,PR-107301-94-17-01-3314-000000,12/21/2016,MCDEC16,66,,,,,58932.78,USD,12/21/2016,                9600,MASTER CARD,,,12/30/2016 4:49,8424,12/30/2016
817,VENDOR 32,545,VENDOR 32,"HQ Campus Tours in , Louisville,  ADMIN ASST BREWERY BREWING CO ",,165,USD,PR-107301-94-17-01-3314-000000,4/27/2017,CC0417,333,,,,,58650.14,USD,4/27/2017,                9600,MASTER CARD,,,5/1/2017 2:31,8597,5/1/2017
817,VENDOR 32,546,VENDOR 32,HQ Campus Project Tours Parking ADMIN ASST 51120 1758 WAZEE (FR ,,15,USD,PR-107301-94-17-01-3314-000000,4/27/2017,CC0417,334,,,,,58650.14,USD,4/27/2017,                9600,MASTER CARD,,,5/1/2017 2:31,8597,5/1/2017
