Activity Code,Activity Description,Expense Code ,Expense Code Description,Expense Code Category ,Account Number ,Account Description 
1312,Fly Ash Rotary Unloader Replacement,,,,428112,Amortization of Deferred  Debt – Series EEBonds BondsBonds
1313,Replace Kawasaki Front End Loader Rebuild,,,,428113,Amortization of Deferred  Debt – Series EEBonds BondsBonds
1315,Automatic Breaker Racking Device,,,,428115,Amortization of Deferred  Debt – Series GGBonds BondsBonds
1316,KIRK Interlock Replacement Replacement for Baghouse0.00,,,,428116,Amortization of Deferred  Debt – Series HHBonds BondsBonds
1317,SDA Improvements,,,,428312,Amortization of Deferred  Loss – Series EEBonds BondsBonds
1319,Scrubber Opt Program,,,,428315,Amortization of Deferred  Loss – Series GGBonds BondsBonds
1320,Soot Optimization Program,,,,429102,Amortization of Premium  Debt – Series EEBonds BondsBonds
1321,Warm-up Gun Replacement,,,,429103,Amortization of Premium  Debt – Series EEBonds BondsBonds
1322,Bison Working Facilities Improvements,,,,429105,Amortization of Premium  Debt – Series GGBonds BondsBonds
1323,New Generation Resource,,,,429106,Amortization of Premium  Debt – Series HHBonds BondsBonds
1324,Rail Car Purchase,,,,431101,Other Interest Expense  – Wind Reimbursement  
1325,Zolo Boss System Installation,,,,432101,Other Interest Expense  – Wind Reimbursement  
1326,Rawhide Control Room Remodel,,,,447101,Sales for Resale  – Fort Collins  
1327,Avantis Decision Support Module,,,,447102,Sales for Resale  – Longmont   
1328,Replace Unit 101 Opacity Monitor,,,,447103,Sales for Resale  – Loveland   
1329,Mercury Removal System,,,,447104,Sales for Resale  – Estes Park  
1330,Exciter Life Extension,,,,447199,Sales for Resale  – PRPA System Peak 
1331,Rawhide Windmill Replacement,,,,447201,Sales for Resale  – Public Service Companyof ofof
1332,Air Heater Baskets,,,,447202,Sales for Resale  – WAPA – LovelandArea AreaArea
1336,Boiler Entrance Platform Expansion,,,,447204,Sales for Resale  – Colorado Springs Utilities 
1337,Condensate Flow Section,,,,447205,Sales for Resale  – Municipal Energy Agencyof ofof
1338,Coordinated Control System Upgrade,,,,447206,Sales for Resale  – WAPA – ColoradoRiver RiverRiver
1339,Disc Flow Pumps,,,,447209,Sales for Resale  – Utah Associated MunicipalPower PowerPower
1340,Door-Warehouse 3 (Maintenance Area),,,,447210,Sales for Resale  – Salt River Project 
1342,Emergency Generator Diesel Tank Replacement,,,,447211,Sales for Resale  – Deseret G &T TT
1343,Flux Probe Unit A Generator,,,,447212,Sales for Resale  – Utah Municipal PowerAgency AgencyAgency
1344,Overhead Door Replacement Warehouse 3 (South Side),,,,447213,Sales for Resale  – Pacificorp   
1345,Pump Station Air Compressor Upgrade,,,,447214,Sales for Resale  – Tri-State G &T TT
1346,Reheat Surface,,,,447215,Sales for Resale  – Holy Cross Energy 
1348,Rotary Car Dumper Hydraulic Lift Replacement,,,,447216,Sales for Resale  – Tri-State G &T TT
1352,Voltage Regulator Upgrades,,,,447225,Sales for Resale  – Black Hills UtilityCorp CorpCorp
1353,Fire Alarm Panel Replacement,,,,447229,Sales for Resale  – E-Prime   
1358,Rainbow Pump Discharge Line,,,,447230,Sales for Resale  – Utilicorp United  
1359,Locomotive,,,,447231,Sales for Resale  – IDACORP Energy (Idaho) 
1360,Oil Room Door Replacement,,,,447232,Sales for Resale  – Public Service Companyof ofof
1361,Vibration Monitoring System,,,,447233,Sales for Resale  – Rocky Mountain ReserveGroup GroupGroup
1362,Rawhide Security Gate Controls,,,,447234,Sales for Resale  – Arizona Public ServiceCompany CompanyCompany
1363,Fire Booster Pumps in Silo,,,,447235,Sales for Resale  – Powerex   
1364,Boiler Feed Pump and Condensate Pump Recirculation,,,,447237,Sales for Resale  – Rocky Mountain GenerationCo-Op Co-OpCo-Op
1365,Monofill (Solid Waste Disposal) Facility Expansion,,,,447238,Sales for Resale  – Black Hills Power& &&
1366,Purchase Bobcat Toolcat,,,,447239,Sales for Resale  – Morgan Stanley CapitalGroup GroupGroup
1370,Locomotive/Rail Car Repair Shop,,,,447240,Sales for Resale  – Basin Electric PowerCooperative CooperativeCooperative
1373,CT - B Oil Mist Eliminator Modification,,,,447241,Sales for Resale  – Cargill Power Markets 
1375,CT - D Oil Mist Eliminator Modification,,,,447242,Sales for Resale  – Integrys   
1376,Ash Water Reclaim Pump Discharge Piping,,,,447243,Sales for Resale  – Southwestern Public Service 
1378,CT - A Cooling Water Pump Replacement,,,,447244,Sales for Resale  – WACM Balancing Authority 
1379,CT - B Cooling Water Pump Replacement,,,,447245,Sales for Resale  – Macquarie Energy LLC 
1380,CT - C Cooling Water Pump Replacement,,,,447299,Sales for Resale  – Capitalized   
1381,CT - A Combustion Inlet Temperature Grid,,,,456101,Other Electric Revenue  – Wheeling   
1382,CT - B Combustion Inlet Temperature Grid,,,,500101,Operations Supervision and Engineering Expense
1383,CT - C Combustion Inlet Temperature Grid,,,,501101,Fuel – Fuel  Expense    
1384,CT - D Combustion Inlet Temperature Grid,,,,501102,Fuel – Railroad  Car Lease and Other 
1386,Predictive Analytics,,,,501103,Fuel – Fuel  Handling Expense   
1387,Overhead Doors Replacement at Rawhide,,,,501104,Fuel – Other  Testing and Analysis  
1388,Roof Replacement at Rawhide,,,,501105,Fuel – Other  Expenses    
1390,MMI Toolroom Sliding Door,,,,501106,Fuel – Fuel  Ash Disposal   
1391,Pasture Wells and Windmills,,,,501111,Fuel – Trapper  Post-Mining Reclamation Costs  
1392,Bison Working Facilities Improvements,,,,502101,Air Quality Control  Expense    
1393,Warehouse II Improvements - Air Ventilation and Air0.00,,,,502102,Boiler Operation Expense      
1395,16th Floor Microwave and Elevator Room Improvements0.00,,,,502103,Boiler Water Treatment  Expense    
1398,Main Control Room Steel Window Protection,,,,502104,Phosphorus Removal System  Expense    
1399,"SDA Simulation, Reheat Tube Modeling and HP/IP Turb0.00",,,,502105,Service Water Treatment  Expense    
1400,Simulator Workshop Upgrade,,,,502106,Demineralizer Expense       
1401,SKM/PTW Modeling Software,,,,502201,Other Steam Expense      
1402,Allen-Bradley Controls Upgrade,,,,505101,Turbine Generator Operations      
1403,PRS Control System Upgrade,,,,505201,Other Electric Expense      
1405,Bar Coding Add-on for Avantis,,,,505301,Other Electric Expense  – Windy Gap  
1410,Fire Protection Improvement Plan,,,,506111,Operations Safety and  Training Expense   
1412,Conveyor 10 Soft Start Installation,,,,506113,Fire Rescue Expense      
1413,I&E Shop Storage & Work Room Expansion,,,,506201,Miscellaneous Operations Expense      
1414,Turbine Crane Remote Control,,,,507101,Rents – Rawhide      
1415,Ash Silo Door,,,,510101,Maintenance Supervision and  Engineering Expenses   
1416,Crusher Feeder Replacement,,,,511101,Maintenance of Buildings  and Structures   
1417,Underground Blowdown Line Replacement,,,,511102,Maintenance of Site  Facilities    
1418,Fire Suppression System RH Server/Phone Room,,,,511103,Maintenance of Lighting  and Communications System  
1419,Replace Unit 101 NOX Analyzer,,,,511104,Maintenance of Fire  Protection System   
1420,Boiler Blowdown Line Cathodic Protection,,,,511105,Maintenance of Space  Conditioning    
1421,Portable Power Analysis & Metering Equipment,,,,511106,Maintenance of Rawhide  Security    
1422,Baghouse Hopper Sonic Horns,,,,511201,Maintenance of Buildings  and Structures – YAMPA 
1424,Coal Unloading Truck Locks,,,,512101,Maintenance of Ash  and AQCS Solids System 
1425,Combustion Turbine CEMS Allen Bradley PLC Replaceme0.00,,,,512102,Maintenance of Compressed  Air System   
1426,Cancelled,,,,512103,Maintenance of Air  Quality Control System  
1427,Freight Elevator,,,,512104,Maintenance of Mobile  Equipment    
1428,Fueling Station System Replacement,,,,512105,Maintenance of Coal  Handling System   
1429,HVMCC Upgrade,,,,512106,Maintenance of Feedwater  System    
1435,Turbine Crane Access Safety Cable,,,,512107,Maintenance of Plant  Auxiliary System   
1436,Unit F Combustion Dynamics Monitor,,,,512108,Maintenance of Steam  Generation System   
1437,RipRap at CT Site,,,,512109,Maintenance of Water  Supply/Storage/Treatment Systems   
1438,UPS in Rotary Car Dumper,,,,512201,Maintenance of Boiler  Plant – Other  
1439,Baghouse Broken Bag Detector,,,,513101,Maintenance of Auxiliary  Power Supply System  
1440,RA Fan and Recycle Blower Exhaust Fan,,,,513102,Maintenance of Control  System    
1441,Rawhide Stack Lights Upgrade,,,,513103,Maintenance of Equipment  Cooling System   
1442,Ambulance Replacement,,,,513104,Maintenance of Cycle  Heat Rejection System  
1443,Gravel Separator Modification,,,,513105,Maintenance of Turbine  Extraction System   
1444,Foxboro Upgrade,,,,513106,Maintenance of Turbine  Generator System   
1446,Redundancy PLC for Soot Blowing Controls,,,,513201,Maintenance of Electric  Plant – Other  
1447,Governor Valve Servo Controller,,,,514101,Maintenance of Information  System    
1448,Paging System Upgrade to Bidirectional Antenna,,,,514102,Maintenance of Miscellaneous  Steam Plant – Vehicles 
1449,CEMS Allen Bradley PLC Controller Unit 1,,,,514111,Maintenance of Safety  and Training   
1450,Rotary Ash Unloader 101 Replacement,,,,514201,Maintenance of Miscellaneous  Steam Plant – Other 
1451,Crusher Building Access Door,,,,514202,Maintenance of Miscellaneous  Tools    
1452,Conveyor 9A-to10A Transfer Chute,,,,514301,Maintenance Expense –  Outage Accrual   
1453,Conveyor 10A-to-101 Transfer Chute,,,,546101,Other Power Supply  – Operation Supervision andEngineering EngineeringEngineering
1454,Inlet Programable Logic Controller Node,,,,547101,Other Power Supply  – Natural gas expenses 
1455,CT NetDAHS Server,,,,547102,Other Power Supply  – Natural gas transportationexpenses expensesexpenses
1456,Rawhide NetDAHS Server,,,,547103,Other Power Supply  – Other fuel expenses 
1457,Arc Flash Mitigation,,,,548101,Other Power Supply  – Other Generation Expenses 
1458,Atomizer 3500 Machinery Protection System,,,,549101,Other Power Supply  – Other Miscellaneous Power Generation GenerationGeneration
1459,Cold Reheat Safety Valve Replacement,,,,550101,Other Power Supply  – Leases and Rents  
1460,Conveyor 1 to Conveyor 2 Transfer Chute,,,,551101,Maintenance supervision and  engineering     
1461,HVAC System Controls Upgrade - Control Building,,,,552101,Maintenance of structures       
1462,Portable Extrication Equipment,,,,553101,Maintenance of Generating  and Electric Plant   
1465,Rip Rap - East/West Ditch Along North Road,,,,554101,Maintenance of Miscellaneous  Other Power Generation Plant  
1466,Sand and Equipment Storage Building (Cover-All),,,,555100,Replacement Purchase Power  Outage Accrual    
1467,SolarBee Units for Hamilton Reservoir,,,,555101,Purchased Power –  WAPA – Loveland Area Project ProjectProject
1468,Station 1 HVAC Modification,,,,555102,Purchased Power –  WAPA – Colorado River Storage StorageStorage
1469,Station 1 Overhead Door,,,,555103,Purchased Power –  WAPA – Colorado River Storage StorageStorage
1471,Rawhide CT Flame Scanner Improvements,,,,555104,Purchased Power –  WAPA – Loveland Area Project ProjectProject
1472,Turbine Crane Controls Upgrade,,,,555105,Purchased Power –  Public Service Company of Colorado ColoradoColorado
1473,Main Plant Elevator Replacement,,,,555107,Purchased Power –  Rocky Mountain Generation Co-Op (RMGC) (RMGC)(RMGC)
1474,Electric Hoist & Equipment for Boiler Buidling,,,,555108,Purchased Power –  Tri-State G&T Association Inc  
1475,Combustion Turbine Fast Start Software Units A & b,,,,555110,Purchased Power –  Colorado Springs Utilities (CSU)  
1476,Morrow Land Acquisitioin,,,,555112,Purchased Power –  Pacificorp     
1477,Controls Network Upgrade,,,,555114,Purchased Power –  Utah Municipal Power Agency (UMPA) (UMPA)(UMPA)
1478,Under Fire Air Damper Drives,,,,555117,Purchased Power –  Arizona Public Service Company (APSC) (APSC)(APSC)
1479,Bandana Lane Land Purchase,,,,555119,Purchased Power –  Salt River Project   
1480,Rotary Car Dumper Building Dust Suppression System,,,,555120,Purchased Power –  E-Prime     
1481,Upgrade Radio Communication to Digital,,,,555121,Purchased Power –  IDACORP Energy (Idaho)   
1482,OSIsoft PI Server Software Upgrade,,,,555122,Purchased Power –  West Plains Energy   
1484,Bently 3500 Machinery Protection System Upgrade,,,,555123,Purchased Power –  Rocky Mountain Reserve Group (RMRG) (RMRG)(RMRG)
1485,Burner Management System,,,,555124,Purchased Power –  Public Service Company of New NewNew
1486,Cathodic Protection - Rawhide 24 Inch Water Pipelin0.00,,,,555125,Purchased Power –  Black Hills Utility Corp  
1487,Condensate Pump Duplex Suction Strainers,,,,555126,Purchased Power –  Powerex     
1488,CT Network Switches,,,,555127,Purchased Power –  Mirant     
1489,Dry Ash Unloader Upgrade,,,,555128,Purchased Power –  Southwestern Public Service   
1490,Gas Chromatograph,,,,555129,Purchased Power –  Black Hills Power & Light LightLight
1492,MOV Replacement 24 Inch Pipeline,,,,555130,Purchased Power –  Clipper Wind    
1493,On-Line Analyzer Replacement,,,,555131,Purchased Power –  Municipal Energy Agency of Nebraska NebraskaNebraska
1495,Protection Relay Upgrade - 4160 Volt System,,,,555132,Purchased Power –  Morgan Stanley Capital Group  
1496,Reheat Spray Control Valve Replacement,,,,555133,Purchased Power –  Integrys     
1497,Rotary Car Dumper Dust Collection System Upgrade,,,,555134,Purchased Power –  Cargill Power Markets   
1501,Windbox Damper and Air Tip Upgrade,,,,555135,Purchased Power –  Silver Sage    
1502,Mercury Continuous Emission Monitoring System Probe0.00,,,,555201,Purchased Power –  Banking/Reserves     
1503,Remote Racking for 12.47kV Substation Breakers,,,,555202,Purchased Power –  Forced Outage Exchange   
1505,Soldier Canyon Pump Modifications,,,,555203,Purchased Power –  Renewable Energy Certificates   
1506,Unit 1 Hydrogen Dryer Replacement,,,,555204,Purchased Power –  Ancillary Services    
1507,GPI Learn,,,,555205,Renewable Inventory Purchased       
1508,Protective Relay Communications Upgrade,,,,555206,Purchased Power –  Spinning Reserves (Schedule 5)  
1509,Power Supply Improvements to Turbine Deck,,,,555207,Purchased Power –  Supplemental Reserves – Non-Spinning (Schedule (Schedule(Schedule
1510,Rawhide Card Access System,,,,555208,Purchased Power –  Commercial Reserves    
1511,4160 Spare Cubicle Relaying,,,,556101,System Control and  Load Dispatch – Headquarters  
1514,CO Monitoring System - Coal Handling System,,,,556111,System Control and  Load Dispatch – Safety and andand
1515,Rawhide Unit 1 DCS Replacement and Expansion,,,,560101,Operations Supervision and  Engineering Expense    
1518,Dozer Ripper Tooth,,,,561101,Load Dispatching Expense       
1521,Floor Machine - Small,,,,562101,Station Expense        
1523,GE HMI Windows 7 Upgrade,,,,563101,Overhead Line Expense       
1527,Cuda Parts Washer - Diesel Shop,,,,565101,Transmission – Wheeling  Expense – WAPA   
1528,Pasture Harrow,,,,565102,Transmission – Wheeling  Expense – Other   
1531,Water Pump,,,,566101,Miscellaneous Transmission Expense       
1532,Meterological Instrument Replacement,,,,566111,Transmission – Safety  and Training Expense   
1533,Rawhide Pump 3,,,,567101,Rents – Transmission  Equipment     
1534,Gas Temp Infrared Pyrometer to Replace Thermoprobe,,,,568101,Transmission Maintenance Supervision  and Engineering Expense   
1535,SUS 480V Spare Breakers,,,,569101,Maintenance of Structures       
1536,Rotary Car Dumper Bldg Lighting Improvement,,,,570101,Maintenance of Station  Equipment     
1538,Soldier Canyon Pump Station Roof Replacement,,,,570102,Maintenance of Primary  Power Supply    
1539,Dumper Haulage Positioner Brake & Control Upgrade,,,,570103,Maintenance of Communication  Equipment     
1540,Rawhide Pump Station Roof Replacement,,,,570104,Maintenance of Station  Equipment – Audit   
1541,RCD Concrete and Roadway,,,,570105,Maintenance of Powerline  Carriers     
1542,RCD Building Elevator,,,,570106,Maintenance of Transmission  Security     
1543,Rawhide Unit 1 Condenser Exhauster Motor,,,,571101,Maintenance of Overhead  Lines     
1544,Rawhide Pump Station Pump #3 Motor,,,,573101,Maintenance of Miscellaneous  Transmission Plant    
1545,Access Platform for Bulk Trucks,,,,910101,Marketing and Customer  Service     
1548,Cat Haul Truck #227 Replacement,,,,910102,Demand Side Management  – LightenUP Program   
1549,Cat Haul Truck #228 Replacement,,,,910103,Demand Side Management  – Electric Efficiency Program  
1550,Combustion Turbine GPS Time Synchronization,,,,910104,Demand Side Management  – Cooling Rebate Program  
1551,HVMCC Switchgear Replacements,,,,910105,Demand Side Management  – Residential Lighting Program  
1552,Rescue #1 Replacement,,,,910106,Demand Side Management  – General    
1553,Self Contained Breathing Apparatus (SCBA) Replaceme0.00,,,,910107,Demand Side Management  – Retrocommissioning    
1555,"Unit 1 Controls Network Cyber Security and Redundan939,666.13",,,,910108,Demand Side Management  – Energy Star New Homes HomesHomes
1556,Waterproof Main Plant Elevator,,,,910109,Demand Side Management  – HVAC Efficiency Contractor Program ProgramProgram
1557,Forklift Replacement (Site Facilities),,,,910110,Demand Side Management  – Commercial Audit Program  
1558,Replace Roof Tap HVAC Unit at Rawhide Substation,,,,910111,Demand Side Management  – Positive Energy Program  
1559,Roof Replacement/Active Coal Silo Support Building,,,,920101,Administrative and General  Salaries     
1560,Roof Replacement/Crusher Building East Roof,,,,921101,Office Supplies and  Expense     
1562,Mower Replacement - Toro,,,,921111,Safety and Training       
1564,Conveyor Belt Fall Protection Guard Rails,,,,921112,Wellness and Incentive  Programs     
1565,CO Monitor Analyzer,,,,922101,Administrative Expense Transfer  – Credit – Overhead  
1566,Yampa Environmental Projects,,,,923101,Outside Professional Services  Employed     
1567,MCC 104 Supply Transformer,,,,924101,Property Insurance –  General     
1568,A/C Hi-Pot (High Potential) Test Kit,,,,924201,Property Insurance –  Production     
1569,Seal and Insulate Rawhide Warehouse #3,,,,926102,Pension and Benefits  – Administrative and General  
1570,Turbine Bay Lighting Upgrade,,,,930101,Board of Directors  and Corporate Expenses   
1571,Yampa Controls Projects,,,,930102,Corporate Reporting and  Promotional Expenses    
1572,Soldier Canyon Pump Replacement,,,,930104,Corporate Reporting –  Annual Report    
1573,Portable Hydrogen Analyzer Replacement,,,,930105,Corporate Reporting –  Quarterly Reports    
1574,Supply Fan 134 Motor,,,,930201,Research and Development  Expenses     
1575,Combustion Gas Turbine Network UPS,,,,930203,Environmental Expenses        
1576,MW Meter Redundancy Panel,,,,930204,Greenhouse Gas Expenses       
1577,Borescope,,,,931101,Rents – General  Equipment     
1578,Calibration Equipment - I & E Shop,,,,935101,Building Maintenance        
1579,Cat Dozer 205 Replacement,,,,935102,Grounds Maintenance        
1580,Chop Saw - Rawhide Maintenance Shops,,,,935103,Computer Maintenance        
1581,CO2 CEMS Replacement - Unit 1,,,,935104,Office Furniture and  Equipment Maintenance    
1582,Continuous Mercury Monitoring Equipment Upgrade,,,,935105,Mobile Radio Maintenance       
1585,Fixed Fire Protection System - Records Storage,,,,935106,Vehicle Maintenance        
1586,Impact Wrench Replacement,,,,935107,Security Maintenance        
1587,Inerting Steam Drain Line Addition - Unit 1,,,,,
1588,Mower Replacement - Large Rotary,,,,,
1589,On-Line Analyzer Replacements,,,,,
1590,Outage Power Feeds - Turbine Deck,,,,,
1591,Owl Creek Gas Site UPS Replacement,,,,,
1592,Furniture Replacements - Rawhide Administration,,,,,
1593,Switchgear and VFD Replacement - Rawhide Pump Stati0.00,,,,,
1594,Hydrojet Replacements with Wall Blowers,,,,,
1596,Roller Compactor,,,,,
1597,SO2 CEMS Replacement - Unit 1,,,,,
1598,"Soldier Canyon 10"" Line Modifications with New Raw",,,,,
1599,Soldier Canyon Pump 2 Replacement,,,,,
1601,SUS Remote Racking and Operation,,,,,
1602,Tractor Loader Replacement,,,,,
1603,Tripper Floor Dust Collector System Modification -,,,,,
1604,Voltage Regulator Replacement - Unit 1,,,,,
1605,Respirator Fit Tester Replacement,,,,,
1606,Conveyor 2 Gearbox Replacement,,,,,
1607,Backup Power Transformer Replacement - CT A,,,,,
1608,Transformer Replacement - CMB,,,,,
1609,Portable Vibration Monitor - Rawhide Maintenance,,,,,
1610,Coal Mill Analyzer Replacement,,,,,
1611,Office Furniture Replacement-Rawhide Electrical Eng0.00,,,,,
1612,Coal Dust Pneumatic Conveying System,,,,,
1614,Fixed Fire Suppression - SDA Computer Control Serve0.00,,,,,
1615,LED Lighting,,,,,
1616,Soot Blower Replacement,,,,,
1617,Brush 1 Fire Truck Replacement,,,,,
1618,Cat Loader Replacement,,,,,
1619,Dual Feed Welder Replacement,,,,,
1620,Network Analyzer Tool,,,,,
1621,Rail Cars - Aluminum,,,,,
1623,NOx Analyzer Replacements - Combustion Turbines - U0.00,,,,,
1624,CO Analyzer Replacements - Combustion Turbines - Un0.00,,,,,
1625,Grading and Drainage Improvements-Rawhide,,,,,
1627,Asphalt Improvements - Rawhide Pump Station,,,,,
1629,Large Floor Machine,,,,,
1632,HVAC Unit Replacment - Rawhide Resource Room,,,,,
1633,Erosion Control - Owl Creek Gas Yard,,,,,
1634,Gearbox Replacement - Conveyor 10A,,,,,
1635,Capital Spare - Conveyor 10 Gearbox,,,,,
1636,Turbine Lube Oil Heater,,,,,
1637,Turbine Lifting Beam,,,,,
1638,Clean Agent Fire Suppression - CMB Computer Room,,,,,
1639,Tripper Deck Expansion,,,,,
1640,Controls HMI Consolidation - Rawhide & Soldier Cany0.00,,,,,
1642,Generator Lead Bushing Enhancements,,,,,
1643,Conveyor 2 Gearbox Motor,,,,,
1644,Vacuum Dehydrator,,,,,
1645,Generator Stator Rewind - Rawhide Unit 1,,,,,
1646,Generator Rotor Replacement - Rawhide Unit 1,,,,,
1648,Asset Management Software,,,,,
1649,Bently Nevada System 1 Network Security,,,,,
1650,Bently Nevada System 1 Virtualization and Operating0.00,,,,,
1651,Bore Welding Machine,,,,,
1652,CAT Loader 988 Replacement,,,,,
1654,Feedwater Heater 102 Replacement,,,,,
1655,Fixed Fire Supression System - Combustion Turbines,,,,,
1657,Fregihtliner Replacement,,,,,
1658,Gate Improvements - Lower Dam Road,,,,,
1659,Horizontal Bore Milling Machine,,,,,
1660,"Ignitor Upgrade and Fuel Oil System Modifications -74,757.97",,,,,
1662,Light Tower,,,,,
1663,Low Impact Secuirty - Rawhide,,,,,
1664,Office Space Planning - Rawhide CMB,,,,,
1665,Portable Air Compressor Replacement,,,,,
1668,Portable Lube Oil Skid - Rawhide Unit 1,,,,,
1669,Railcar Repair Building Replacement,,,,,
1670,Relay (12.47kV) Upgrade - Substation Control House,,,,,
1672,Skid Steer Replacement - Track Type,,,,,
1677,Transformer Fire protection Upgrade - Rawhide Unit,,,,,
1679,Water Chemistry Analyzer Replacements,,,,,
1680,Water Truck Replacement,,,,,
1681,Utility Task Vehicle - Wildland Fire Apparatus,,,,,
1682,X-Ray Fluorescence Analyzer,,,,,
1684,Rawhide CT Gas Yard Communications Conversion,,,,,
1685,Bottom Ash and Reclaim Pond - CCR Compliance,,,,,
1687,"Water Chemistry On-line Phosphate Analyzer Replacem15,627.80",,,,,
1688,Synchronizing System Upgrade - Rawhide Unit 1,,,,,
1689,Controls Upgrade - Baghouse,,,,,
1690,Fiber Upgrade - Rawhide Gas Yard,,,,,
1691,Gas Yard Balance of Plant Controls Replacement,,,,,
1692,Dry Block Calibrator Replacement,,,,,
1900,Retirement Work in Progress,,,,,
1901,Yampa Preliminary Projects,,,,,
1902,Green Pricing Resource,,,,,
1903,Rawhide Water Supply,,,,,
1904,BNSF Contract Negotiation,,,,,
1905,Antelope Contract Renegotiation,,,,,
1906,Peaking Resource Evaluation,,,,,
1908,Emission Reduction Projects at Rawhide,,,,,
1909,Windy Gap Firming Project,,,,,
1910,New Resource Study,,,,,
1911,40MW Peaking Power,,,,,
1912,Xcel Energy 20MW Peaking Power,,,,,
1913,10 Inch Pipeline Poudre River Crossing,,,,,
1914,Southeast Power Project,,,,,
1916,Wind Site Study,,,,,
1917,Wind Site Tower Removal,,,,,
1920,Olympus Dam Hydro Project,,,,,
1921,SolarBee Circulators,,,,,
1922,Wind Equipment Removal,,,,,
1923,ZoloBoss System Installation,,,,,
1924,Buttonrock Hydropower Project,,,,,
1925,Carter Lake Hydro Study,,,,,
1926,Rawhide Entrance Sign,,,,,
1927,Alternate Power Supply-Gas Yard Controls,,,,,
1928,Dewcon Humidity Sensor Installation,,,,,
1929,Granby Hydro Study,,,,,
1930,CSU Fly Ash Deed Grant,,,,,
1931,Renewables Source Study,,,,,
1932,Deed Projects,,,,,
1933,Study for CO Firing Unit 1,,,,,
2004,Blanket-General Equipment,,,,,
2011,Flatiron Relaying Upgrade,,,,,
2012,Timberline Voltage Rela,,,,,
2013,Mary's Lake Loop Service,,,,,
2014,Valley Substation Consl,,,,,
2015,Boyd Digital Fault Recorder,,,,,
2016,Harmony Transformer Addition,,,,,
2017,Rogers Road Substation,,,,,
2018,Terry/Rogers Rd/Frdhm,,,,,
2019,Replace Ocb Lp 2282 Brk,,,,,
2020,Loveland/Derby Hill Cns,,,,,
2021,Boyd Substation Relay Upgrade,,,,,
2022,Timberline/Poudre Easement,,,,,
2023,Install Conduit/Harvard,,,,,
2024,PVREA Cement Plant Meter,,,,,
2025,Yampa Preliminary Projects,,,,,
2026,115kV Capacitor Addition,,,,,
2027,WEST 115/12.74kV Transformer,,,,,
2029,Longmont Relay Upgrade,,,,,
2030,Loveland Relay Upgrade,,,,,
2032,Boyd Lake Line,,,,,
2033,Boyd Lake Substation,,,,,
2034,Terry-Fordham Transmission Project,,,,,
2035,Valley-Boyd Transmission Project,,,,,
2036,Overland/LaPorte/Richard Lake Transmission Project,,,,,
2037,Longmont West Substation,,,,,
2038,Dixon Creek Substation,,,,,
2039,Fordham Sub Line Modification,,,,,
2040,Horseshoe and East Line Relay Replacements,,,,,
2041,Install LaPorte Tap to Poudre 230/115kV Circuit,,,,,
2042,Install Poudre to Timberline 230kV Circuit,,,,,
2043,Install Rawhide to LaPorte 230kV Circuit,,,,,
2045,Substation Security,,,,,
2046,Airport Substation RTU Replacement,,,,,
2048,Terry Sub Line Modification,,,,,
2049,Install Poudre to Richard Lake 115kV Circuit,,,,,
2050,Timberline Substation Additions,,,,,
2051,Station Battery Replacement,,,,,
2053,Boyd Substation Addition,,,,,
2054,Longmont Southeast Substation 115 12 47kV Transform0.00,,,,,
2057,Valley Substation Addition,,,,,
2058,Poudre Richards Lake Substation Modification,,,,,
2060,Del Camino Tap Meadow 115kV Transmission Rebuild,,,,,
2062,Dixon Creek Drake115kV Transmission Upgrade Rebuild0.00,,,,,
2063,West Tap West 115kV Transmission Upgrade Rebuild,,,,,
2064,Rogers Road Battery Room Addition,,,,,
2065,West T/L Mariano Dam Rebuild,,,,,
2066,Integrated Load Resource Area (ILRA) Metering,,,,,
2067,Brekke Easement,,,,,
2068,Ft St Vrain Fordham 230/115kV Transmission Project,,,,,
2069,Drake-Timberline 115kV Transmission Upgrade,,,,,
2070,LaPorte Tap-Dixon Creek 230/115kV Transmission Proj0.00,,,,,
2071,Northwest Substation Breaker Replacement,,,,,
2072,Terry Substation Addition,,,,,
2073,Timnath Substation Addition,,,,,
2074,Boyd Transformers and Capacitors,,,,,
2075,Boyd Substation Equipment Building,,,,,
2076,Land for Horseshoe Substation Addition,,,,,
2077,Boyd Transformers and Capacitors,,,,,
2078,Linden RTU Replacement,,,,,
2080,Rawhide Substation Breaker Replacement,,,,,
2081,Substation Oil Containment Berm Construction,,,,,
2082,Horseshoe Substation Capacitors,,,,,
2083,Dixon Creek Horseshoe Transmisssion Project,,,,,
2084,Rawhide Relay Panel Replacement,,,,,
2085,Fiber Optic to Estes Park,,,,,
2086,Fordham Substation Circuit Switcher Replacement,,,,,
2087,City of Fort Collins Load Shedding Requirements,,,,,
2088,Timnath-Black Hollow 115 kV Rebuild (WAPA)`,,,,,
2089,Fordham Substation 230kV Addition,,,,,
2090,Dixon Dreek Addtion,,,,,
2091,Horseshoe Sub 230kV Addition,,,,,
2093,Concrete Work at Boyd Substation,,,,,
2094,DRC HVAC System Upgrade,,,,,
2095,Doble IDD Intelligent Diagnostic Sys,,,,,
2096,Airport Substation Additions,,,,,
2097,Longmont East Substation,,,,,
2098,Boyd Substation Access Road,,,,,
2099,Longs Peak RTU Replacement,,,,,
2100,Battery Bank Replacement Boyd and Timberline Subs,,,,,
